arm,seed,filename,cos_to_target,global_p_dog,roi_p_dog,grad_align
pad0,0,pad0_seed0.png,0.8754,0.0784,0.5803,nan
pad0,1,pad0_seed1.png,0.8761,0.0963,0.6478,nan
pad0,2,pad0_seed2.png,0.9103,0.0686,0.5467,nan
pad0,3,pad0_seed3.png,0.8883,0.0664,0.5239,nan
pad0,4,pad0_seed4.png,0.8877,0.0760,0.5729,nan
pad0.15,0,pad0.15_seed0.png,0.9395,0.0005,0.0984,nan
pad0.15,1,pad0.15_seed1.png,0.9609,0.0006,0.0511,nan
pad0.15,2,pad0.15_seed2.png,0.9662,0.0006,0.0767,nan
pad0.15,3,pad0.15_seed3.png,0.9591,0.0012,0.1425,nan
pad0.15,4,pad0.15_seed4.png,0.9323,0.0231,0.2139,nan
edge_v1,0,edge_v1_seed0.png,0.9640,0.0003,0.1370,nan
edge_v1,1,edge_v1_seed1.png,0.9709,0.0016,0.2009,nan
edge_v1,2,edge_v1_seed2.png,0.9791,0.0002,0.0440,nan
edge_v1,3,edge_v1_seed3.png,0.9652,0.0014,0.2115,nan
edge_v1,4,edge_v1_seed4.png,0.9742,0.0003,0.1762,nan
edge_v2,0,edge_v2_seed0.png,0.8525,0.0257,0.5652,0.0048
edge_v2,1,edge_v2_seed1.png,0.8803,0.1821,0.6243,0.0045
edge_v2,2,edge_v2_seed2.png,0.8572,0.0563,0.5839,0.0031
edge_v2,3,edge_v2_seed3.png,0.8923,0.0808,0.5893,0.0037
edge_v2,4,edge_v2_seed4.png,0.8901,0.1762,0.5450,0.0068
